Id,Url,Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
34,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158997953072356&slink=603y2r&f1=1,27,1,6,,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26999
35,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533254697119&slink=603y2r&f1=1,27,2,14,,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,41000
36,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160319584403195&slink=603y2r&f1=1,27,6,6,НЕ,"град София, Сухата река",2012,1-СТАЕН,Тухла,34000
37,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160343749769610&slink=603y2r&f1=1,27,2,7,НЕ,"град София, Център",2020,1-СТАЕН,Тухла,52000
38,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159887073266885&slink=603y2r&f1=1,27,7,7,ДА,"град София, Център",1950,1-СТАЕН,Тухла,75000
39,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160284254745647&slink=603y2r&f1=1,27,6,6,НЕ,"град София, Левски",2012,АТЕЛИЕ, ТАВАН,Тухла,34000
40,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160249099641292&slink=603y2y&f1=1,28,1,8,ДА,"град София, Студентски град",2018,1-СТАЕН,Тухла,35000
41,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159621136900658&slink=603y2y&f1=1,28,4,5,,"град София, Връбница 1",0,1-СТАЕН,Тухла,35000
42,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160110832540682&slink=603y2y&f1=1,28,4,4,,"град София, Малинова долина",0,1-СТАЕН,Тухла,30000
43,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159621146126248&slink=603y2y&f1=1,28,4,5,,"град София, Надежда 3",0,1-СТАЕН,Тухла,35000
44,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157442607682836&slink=603y2y&f1=1,28,0,0,,"град София, Студентски град",0,1-СТАЕН,Тухла,25000
45,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160198521407010&slink=603y2y&f1=1,28,1,3,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,35000
46,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159231382339134&slink=603y2y&f1=1,28,1,6,Лок.отопл.,"град София, Център",2000,1-СТАЕН,Тухла,33600
47,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159904700836969&slink=603y32&f1=1,29,7,8,,"град София, Оборище",0,1-СТАЕН,Тухла,78000
48,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160205044675206&slink=603y32&f1=1,29,1,8,ДА,"град София, Редута",1986,1-СТАЕН,Тухла,29400
49,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160317322327203&slink=603y32&f1=1,29,1,8,ДА,"град София, Редута",1987,1-СТАЕН,ЕПК,29500
50,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160042698787163&slink=603y32&f1=1,29,1,8,ДА,"град София, Редута",1995,1-СТАЕН,ЕПК,31000
51,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159231307347201&slink=603y32&f1=1,29,1,1,ДА,"град София, Редута",1990,1-СТАЕН,ЕПК,32900
52,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160218407939077&slink=603y32&f1=1,29,0,0,ДА,"град София, Редута",0,1-СТАЕН,ЕПК,33000
53,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160224447643950&slink=603y32&f1=1,29,1,8,ДА,"град София, Редута",1992,АТЕЛИЕ, ТАВАН,Тухла,30500
54,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159471225911136&slink=603y37&f1=1,30,1,5,,"град София, Овча купел",0,1-СТАЕН,Тухла,31500
55,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160276910476557&slink=603y37&f1=1,30,7,8,ДА,"град София, Дружба 1",0,1-СТАЕН,Панел,44000
56,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160101660787768&slink=603y37&f1=1,30,3,8,НЕ,"град София, Люлин 3",1985,1-СТАЕН,Панел,36000
57,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160283763266845&slink=603y37&f1=1,30,2,8,НЕ,"град София, Сухата река",0,1-СТАЕН,Панел,39989
58,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b160283799341181&slink=603y37&f1=1,30,2,8,НЕ,"град София, Сухата река",0,2-СТАЕН,Панел,39990
59,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159861526932163&slink=603y37&f1=1,30,1,2,,"град София, Белите брези",0,1-СТАЕН,Тухла,58000
60,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159776144192725&slink=603y37&f1=1,30,1,2,,"град София, Белите брези",0,1-СТАЕН,Тухла,59990
61,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160197805289649&slink=603y37&f1=1,30,1,3,,"град София, в.з.Малинова долина - Герена",2022,1-СТАЕН,Тухла,35964
62,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160336496570089&slink=603y37&f1=1,30,7,8,Лок.отопл.,"град София, Дружба 1",1980,1-СТАЕН,Панел,44000
63,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160318988630438&slink=603y37&f1=1,30,7,8,,"град София, Дружба 1",1980,1-СТАЕН,Панел,44000
64,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160325977105016&slink=603y37&f1=1,30,6,8,ДА,"град София, Дървеница",0,1-СТАЕН,Панел,41000
65,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159888339499862&slink=603y37&f1=1,30,1,2,,"град София, Красно село",0,1-СТАЕН,Тухла,58000
66,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160138942120051&slink=603y37&f1=1,30,1,4,НЕ,"град София, Лозенец",2016,1-СТАЕН,Тухла,31500
67,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159229073666520&slink=603y37&f1=1,30,5,8,,"град София, Люлин 5",1980,1-СТАЕН,Панел,29999
