Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
38,7,13,Лок.отопл.,"град София, Витоша",2018,1-СТАЕН,Тухла,41500
38,2,2,,"град София, Гевгелийски",1951,1-СТАЕН,Тухла,43399
38,0,0,Лок.отопл.,"град София, Студентски град",2015,1-СТАЕН,Тухла,49990
38,0,0,,"град София, Банишора",1989,1-СТАЕН,Тухла,33000
38,2,6,,"град София, Дървеница",2018,1-СТАЕН,Тухла,46000
38,2,2,,"град София, Западен парк",1951,1-СТАЕН,Тухла,43399
38,1,6,,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,42000
38,2,7,,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,44999
38,1,6,,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,42000
38,6,9,ДА,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42400
38,6,8,ДА,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
38,6,9,ДА,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
38,2,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,33800
38,2,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,34550
38,2,6,ДА,"град София, Овча купел 2",2020,1-СТАЕН,Тухла,33044
38,1,6,,"град София, Студентски град",2020,1-СТАЕН,Тухла,30750
38,1,6,,"град София, Студентски град",2019,1-СТАЕН,Тухла,30750
38,4,14,,"град София, Студентски град",2018,1-СТАЕН,Тухла,34990
38,3,13,,"град София, Студентски град",2018,1-СТАЕН,Тухла,41999
38,7,14,,"град София, Студентски град",2017,1-СТАЕН,Тухла,43500
38,6,8,,"град София, Студентски град",2017,1-СТАЕН,Тухла,44999
38,6,16,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,47900
38,7,17,Лок.отопл.,"град София, Студентски град",2016,1-СТАЕН,Тухла,48500
38,1,6,,"град София, Център",2020,1-СТАЕН,Тухла,42000
38,2,5,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,42000
38,2,6,НЕ,"град София, Център",2020,1-СТАЕН,Тухла,45000
38,5,14,,"град София, Банишора",2017,2-СТАЕН,ЕПК,45000
38,5,5,ДА,"град София, Център",1937,2-СТАЕН,Тухла,84999
38,0,0,,"град София, Банишора",1998,АТЕЛИЕ,Тухла,35000
38,7,9,НЕ,"град София, Гоце Делчев",2012,АТЕЛИЕ,Тухла,51900
39,3,5,Лок.отопл.,"град София, Студентски град",2019,1-СТАЕН,Тухла,48500
39,2,5,,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,60000
39,4,6,ДА,"град София, Надежда 3",2020,1-СТАЕН,Тухла,31200
39,1,6,ДА,"град София, Люлин 10",2010,АТЕЛИЕ,Тухла,29990
39,6,6,ДА,"град София, Борово",2000,1-СТАЕН,Тухла,51300
39,7,13,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,41000
39,7,13,,"град София, Витоша",2019,1-СТАЕН,Тухла,41000
39,7,12,НЕ,"град София, Витоша",2018,1-СТАЕН,Тухла,41500
39,4,6,Лок.отопл.,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,42858
39,11,13,ДА,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,41000
39,1,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,33256
39,2,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,34316
39,4,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,34416
39,3,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,34416
39,6,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,34862
39,2,6,,"град София, Студентски град",2020,1-СТАЕН,Тухла,32370
39,1,8,,"град София, Студентски град",2019,1-СТАЕН,Тухла,37990
39,7,13,,"град София, Студентски град",2019,1-СТАЕН,Тухла,39999
39,7,13,НЕ,"град София, Студентски град",2019,1-СТАЕН,Тухла,41000
39,7,13,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,41000
40,0,0,ДА,"град София, Банишора",2019,2-СТАЕН,Тухла,35000
40,2,4,НЕ,"град София, Западен парк",1958,2-СТАЕН,Тухла,41500
40,5,8,,"град София, Център",2018,2-СТАЕН,Тухла,47000
40,3,4,,"град София, Западен парк",1960,1-СТАЕН,Тухла,48000
40,0,0,НЕ,"град София, Студентски град",2012,1-СТАЕН,Тухла,26000
40,8,13,,"град София, Студентски град",2019,1-СТАЕН,Тухла,38500
40,9,15,,"град София, Банишора",1985,1-СТАЕН,ЕПК,44999
40,0,0,,"град София, Витоша",2012,1-СТАЕН,Тухла,26000
40,7,14,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,41990
40,7,12,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,45500
40,10,12,ДА,"град София, Гевгелийски",1982,1-СТАЕН,ЕПК,52000
40,1,8,ДА,"град София, Дианабад",2019,1-СТАЕН,Тухла,37900
40,3,6,,"град София, Дружба 1",1968,1-СТАЕН,Панел,35000
40,2,6,,"град София, Дружба 1",1968,1-СТАЕН,Панел,35800
40,0,0,,"град София, Дружба 1",2010,1-СТАЕН,Тухла,49900
40,2,4,НЕ,"град София, Западен парк",1960,1-СТАЕН,Тухла,45000
40,0,0,,"град София, Зона Б-18",2016,1-СТАЕН,Тухла,35000
40,2,7,,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,45000
40,2,6,Лок.отопл.,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,45000
40,0,0,,"град София, Левски",2019,1-СТАЕН,Тухла,29000
40,0,0,Лок.отопл.,"град София, Лозенец",2006,1-СТАЕН,Тухла,48000
40,0,0,,"град София, Лозенец",2006,1-СТАЕН,Тухла,48000
40,1,6,НЕ,"град София, Лозенец",2006,1-СТАЕН,Тухла,48000
40,1,6,ДА,"град София, Лозенец",2015,1-СТАЕН,Тухла,57000
40,0,0,,"град София, Люлин 8",2019,1-СТАЕН,Тухла,33000
40,7,8,,"град София, Младост 3",1989,1-СТАЕН,Панел,44200
40,4,6,Прокарва се,"град София, Надежда 3",2007,1-СТАЕН,Тухла,39990
40,4,6,НЕ,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,4,7,НЕ,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,4,6,НЕ,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,1,8,ДА,"град София, Слатина",2019,1-СТАЕН,Тухла,36270
40,10,13,,"град София, Студентски град",2019,1-СТАЕН,Тухла,39499
40,1,17,ДА,"град София, Студентски град",2018,1-СТАЕН,ЕПК,43790
40,4,8,НЕ,"град София, Студентски град",2016,1-СТАЕН,Тухла,55000
40,3,9,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,56000
40,1,8,,"град София, Сухата река",2020,1-СТАЕН,Тухла,30000
40,7,8,,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
40,7,8,НЕ,"град София, Хаджи Димитър",2019,1-СТАЕН,Тухла,58000
40,8,15,,"град София, Банишора",1987,2-СТАЕН,ЕПК,45000
40,6,14,,"град София, Банишора",1980,2-СТАЕН,ЕПК,45000
40,8,15,Лок.отопл.,"град София, Банишора",1987,2-СТАЕН,ЕПК,45000
40,5,15,,"град София, Банишора",1986,2-СТАЕН,ЕПК,45000
40,7,13,НЕ,"град София, Банишора",2018,2-СТАЕН,ЕПК,45000
40,6,14,,"град София, Банишора",1979,2-СТАЕН,ЕПК,45000
40,4,18,,"град София, Банишора",1980,2-СТАЕН,ЕПК,45000
40,1,6,НЕ,"град София, Дианабад",2010,2-СТАЕН,Тухла,60000
40,4,6,,"град София, Оборище",2000,2-СТАЕН,Тухла,65990
40,0,0,ДА,"град София, Център",2019,2-СТАЕН,Тухла,35000
40,9,15,,"град София, Център",1985,2-СТАЕН,ЕПК,44999
40,4,16,,"град София, Център",2018,2-СТАЕН,ЕПК,45000
40,1,4,ДА,"град София, Център",1965,2-СТАЕН,Тухла,120000
40,0,0,ДА,"град София, Лозенец",2001,АТЕЛИЕ,Тухла,49000
40,0,0,,"град София, Лозенец",2007,АТЕЛИЕ,Тухла,50000
41,7,12,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,45100
41,5,8,ДА,"град София, Надежда 3",1976,1-СТАЕН,Панел,44990
41,14,15,ДА,"град София, Красна поляна 2",1981,1-СТАЕН,ЕПК,47500
41,1,5,,"град София, Витоша",2017,1-СТАЕН,Тухла,38999
41,7,12,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,45000
41,7,12,НЕ,"град София, Витоша",2019,1-СТАЕН,Тухла,45100
41,7,13,,"град София, Витоша",2019,1-СТАЕН,Тухла,49000
41,1,14,,"град София, Дружба 1",1980,1-СТАЕН,ЕПК,32000
41,0,0,,"град София, Захарна фабрика",1960,1-СТАЕН,Тухла,49999
41,4,6,Лок.отопл.,"град София, Зона Б-18",2018,1-СТАЕН,Тухла,44900
41,11,14,ДА,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,41000
41,0,0,,"град София, Малинова долина",2020,1-СТАЕН,Тухла,30470
41,1,6,НЕ,"град София, Малинова долина",2020,1-СТАЕН,Тухла,32999
41,1,5,,"град София, Студентски град",2017,1-СТАЕН,Тухла,38999
41,1,6,НЕ,"град София, Студентски град",2019,1-СТАЕН,Тухла,39000
41,7,12,НЕ,"град София, Студентски град",2019,1-СТАЕН,Тухла,45100
41,7,12,,"град София, Студентски град",2019,1-СТАЕН,Тухла,45500
41,13,13,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,47000
41,9,14,ДА,"град София, Студентски град",2018,1-СТАЕН,Тухла,65000
41,5,8,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,45000
41,5,9,ДА,"град София, Левски Г",1990,2-СТАЕН,Панел,49900
41,6,6,ДА,"град София, Мусагеница",2020,2-СТАЕН,Тухла,51647
41,3,7,НЕ,"град София, Овча купел 1",1990,2-СТАЕН,Панел,54000
41,4,4,,"град София, Орландовци",2019,2-СТАЕН,Тухла,37062
41,1,6,НЕ,"град София, Студентски град",2019,2-СТАЕН,Тухла,39000
41,9,9,ДА,"град София, Студентски град",2016,2-СТАЕН,Тухла,52500
41,1,2,НЕ,"град София, Факултета",1960,2-СТАЕН,Тухла,28000
42,14,14,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,47000
42,13,14,ДА,"град София, Студентски град",2018,1-СТАЕН,Тухла,52000
42,8,17,НЕ,"град София, Студентски град",2017,1-СТАЕН,Тухла,57000
42,2,8,ДА,"град София, Дървеница",1982,2-СТАЕН,Панел,61800
42,13,16,,"град София, Студентски град",2018,2-СТАЕН,Тухла,54000
42,8,8,ДА,"град София, Борово",2000,1-СТАЕН,Тухла,49900
42,4,6,,"град София, Бояна",2019,1-СТАЕН,Тухла,51199
42,1,6,,"град София, Витоша",2021,1-СТАЕН,Тухла,31215
42,3,6,,"град София, Витоша",2020,1-СТАЕН,Тухла,31500
42,7,11,ДА,"град София, Витоша",2019,1-СТАЕН,Тухла,43000
42,10,14,ДА,"град София, Дружба 1",1985,1-СТАЕН,ЕПК,45000
42,2,4,,"град София, Дружба 2",2018,1-СТАЕН,Тухла,29976
42,9,14,ДА,"град София, Красна поляна 2",1980,1-СТАЕН,ЕПК,40999
42,5,7,,"град София, Левски Г",2007,1-СТАЕН,Тухла,39900
42,6,14,НЕ,"град София, Люлин 4",1980,1-СТАЕН,ЕПК,46498
42,4,8,ДА,"град София, Люлин 5",1983,1-СТАЕН,Панел,45000
42,3,6,,"град София, Малинова долина",2020,1-СТАЕН,Тухла,31500
42,1,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,35964
42,1,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,36184
42,4,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37218
42,3,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37218
42,2,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37218
42,6,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37447
42,4,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37447
42,3,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37447
42,2,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,37447
42,3,8,ДА,"град София, Слатина",1985,1-СТАЕН,Панел,54500
42,2,8,ДА,"град София, Слатина",1986,1-СТАЕН,Панел,56000
42,2,8,ДА,"град София, Слатина",1986,1-СТАЕН,Панел,56000
42,1,6,,"град София, Студентски град",2021,1-СТАЕН,Тухла,31215
42,3,6,НЕ,"град София, Студентски град",2020,1-СТАЕН,Тухла,31500
42,1,6,,"град София, Студентски град",2020,1-СТАЕН,Тухла,35700
42,3,6,НЕ,"град София, Студентски град",2020,1-СТАЕН,Тухла,40640
42,5,17,,"град София, Студентски град",2018,1-СТАЕН,Тухла,41499
42,13,16,,"град София, Студентски град",2010,1-СТАЕН,Тухла,45000
42,4,16,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,47500
42,12,14,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,50000
42,17,17,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,52000
42,9,14,,"град София, Студентски град",2018,1-СТАЕН,Тухла,67000
42,6,6,ДА,"град София, Хаджи Димитър",1978,1-СТАЕН,Панел,42000
42,6,6,ДА,"град София, Хаджи Димитър",1978,1-СТАЕН,ЕПК,42000
42,5,6,ДА,"град София, Център",2018,1-СТАЕН,Тухла,42420
42,9,12,,"град София, Център",2011,1-СТАЕН,Тухла,60000
42,2,6,ДА,"град София, Дървеница",1982,2-СТАЕН,Панел,61800
42,4,9,ДА,"град София, Младост 3",1973,2-СТАЕН,Панел,69600
42,2,5,НЕ,"град София, Студентски град",2017,2-СТАЕН,Тухла,83560
42,1,5,НЕ,"град София, Студентски град",2017,2-СТАЕН,Тухла,83560
42,2,5,НЕ,"град София, Студентски град",2017,2-СТАЕН,Тухла,83560
42,1,5,,"град София, Студентски град",2017,2-СТАЕН,Тухла,83560
42,1,5,НЕ,"град София, Студентски град",2017,2-СТАЕН,Тухла,83560
42,2,5,Лок.отопл.,"град София, Сухата река",2010,2-СТАЕН,Тухла,39800
43,3,6,ДА,"град София, Център",2015,1-СТАЕН,Тухла,65000
43,6,8,ДА,"град София, Връбница 1",1980,1-СТАЕН,Панел,43000
43,14,14,ДА,"град София, Люлин 10",1988,1-СТАЕН,ЕПК,51000
43,7,8,ДА,"град София, Младост 1",1974,1-СТАЕН,Панел,55000
43,7,8,ДА,"град София, Мусагеница",1974,1-СТАЕН,Панел,55000
43,0,0,,"град София, Студентски град",2016,1-СТАЕН,Тухла,48000
43,1,4,ДА,"град София, Сердика",1973,2-СТАЕН,Тухла,46000
43,2,6,НЕ,"град София, Сухата река",1965,2-СТАЕН,Тухла,61000
43,0,0,ДА,"град София, Яворов",1960,2-СТАЕН,Тухла,89000
43,8,8,,"град София, Захарна фабрика",1980,1-СТАЕН,ПК,43000
43,0,0,,"град София, Карпузица",2015,1-СТАЕН,Тухла,29850
43,5,9,ДА,"град София, Левски Г",1990,1-СТАЕН,Панел,49800
43,3,8,ДА,"град София, Лозенец",2006,1-СТАЕН,Тухла,80000
43,8,14,НЕ,"град София, Люлин 3",1982,1-СТАЕН,ЕПК,42800
43,1,7,ДА,"град София, Люлин 5",1982,1-СТАЕН,Панел,37200
43,6,8,ДА,"град София, Младост 1А",1975,1-СТАЕН,Панел,63000
43,4,9,,"град София, Младост 4",2021,1-СТАЕН,Тухла,48000
43,2,4,,"град София, Обеля 1",2019,1-СТАЕН,Тухла,47300
43,0,0,,"град София, Овча купел",2007,1-СТАЕН,Тухла,33800
43,8,9,ДА,"град София, Овча купел 1",1990,1-СТАЕН,Панел,45500
43,1,3,НЕ,"град София, Симеоново",2019,1-СТАЕН,Тухла,60000
43,4,7,Лок.отопл.,"град София, Студентски град",2016,1-СТАЕН,Тухла,48000
43,10,17,,"град София, Студентски град",2019,1-СТАЕН,Тухла,49000
43,11,14,,"град София, Студентски град",2017,1-СТАЕН,Тухла,50500
43,3,6,,"град София, Студентски град",2017,1-СТАЕН,Тухла,54999
43,13,18,,"град София, Студентски град",2018,1-СТАЕН,Тухла,55800
43,8,13,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,57000
43,5,7,ДА,"град София, Център",2019,1-СТАЕН,Тухла,42420
43,2,7,ДА,"град София, Център",2019,1-СТАЕН,Тухла,51936
43,0,0,НЕ,"град София, Дианабад",2010,2-СТАЕН,Тухла,55000
43,0,0,,"град София, Дианабад",2010,2-СТАЕН,Тухла,55000
43,0,0,НЕ,"град София, Дианабад",2006,2-СТАЕН,Тухла,55000
