Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
12,5,5,ДА,"град София, Център",1940,АТЕЛИЕ, ТАВАН,17500
13,0,0,ДА,"град София, Център",1940,АТЕЛИЕ, ТАВАН,24000
15,1,3,ДА,"град София, Център",1955,АТЕЛИЕ,Тухла,19800
15,0,0,,"град София, Център",1940,АТЕЛИЕ, ТАВАН,23000
17,4,4,НЕ,"град София, Лозенец",1960,АТЕЛИЕ,Тухла,36000
17,4,4,НЕ,"град София, Лозенец",1960,1-СТАЕН,Тухла,36000
17,4,4,НЕ,"град София, Център",1960,1-СТАЕН,Тухла,36000
18,1,3,Лок.отопл.,"град София, Кръстова вада",2002,1-СТАЕН,Тухла,30380
20,0,0,,"град София, Люлин 9",2007,1-СТАЕН,ЕПК,33000
20,0,0,ДА,"град София, Редута",2000,1-СТАЕН,Тухла,21000
20,0,0,НЕ,"град София, Триъгълника",2000,1-СТАЕН,Тухла,18500
20,0,0,НЕ,"град София, Хладилника",2016,1-СТАЕН,Тухла,22900
20,0,0,ДА,"град София, Люлин 9",2005,АТЕЛИЕ,Тухла,21990
20,2,5,ДА,"град София, Оборище",2000,АТЕЛИЕ,Тухла,28000
24,0,0,НЕ,"град София, Младост 4",2020,1-СТАЕН,Тухла,27400
25,0,0,,"град София, Слатина",2016,1-СТАЕН,Тухла,27300
25,4,6,ДА,"град София, Център",1953,1-СТАЕН,Тухла,55000
25,5,5,ДА,"град София, Докторски паметник",1940,АТЕЛИЕ, ТАВАН,39000
25,5,5,НЕ,"град София, Център",1940,АТЕЛИЕ, ТАВАН,39000
26,0,0,Лок.отопл.,"град София, Младост 1",2008,1-СТАЕН,Тухла,29500
26,0,0,Лок.отопл.,"град София, Дианабад",2008,1-СТАЕН,Тухла,38500
26,0,0,НЕ,"град София, Изгрев",2008,1-СТАЕН,Тухла,38500
26,1,6,НЕ,"град София, Изгрев",2008,1-СТАЕН,Тухла,39500
26,4,7,НЕ,"град София, Сухата река",1970,1-СТАЕН,Панел,28000
27,1,6,НЕ,"град София, Люлин 1",1992,1-СТАЕН,Панел,22999
27,0,0,,"град София, Люлин 1",1992,1-СТАЕН,Панел,23000
27,0,0,Лок.отопл.,"град София, Люлин 1",1992,1-СТАЕН,Панел,23800
27,0,0,,"град София, Манастирски ливади",2007,АТЕЛИЕ,Тухла,24000
27,2,7,ДА,"град София, Център",2020,АТЕЛИЕ,Тухла,39774
28,2,10,ДА,"град София, Дружба 1",1990,1-СТАЕН,ЕПК,39000
28,1,2,НЕ,"град София, Център",1920,1-СТАЕН,Тухла,31000
28,1,2,НЕ,"град София, Център",1970,АТЕЛИЕ,Тухла,29000
29,0,0,,"град София, Център",1920,1-СТАЕН,Тухла,29000
29,3,5,ДА,"град София, Център",2005,1-СТАЕН,Панел,55000
29,0,0,ДА,"град София, Център",2020,3-СТАЕН,Тухла,33000
30,3,4,ДА,"град София, Слатина",2019,1-СТАЕН,Тухла,38000
30,4,18,,"град София, Банишора",1980,1-СТАЕН,ЕПК,35000
30,1,7,ДА,"град София, Борово",1990,1-СТАЕН,Тухла,31500
30,1,8,,"град София, Дружба 1",1975,1-СТАЕН,Панел,30999
30,1,7,ДА,"град София, Красно село",1990,1-СТАЕН,Тухла,31500
30,0,0,НЕ,"град София, Лозенец",2004,1-СТАЕН,Тухла,31200
30,0,0,НЕ,"град София, Лозенец",2008,1-СТАЕН,Тухла,47799
30,3,6,ДА,"град София, Люлин 5",1980,1-СТАЕН,Панел,26000
30,0,0,,"град София, Редута",2007,1-СТАЕН,Тухла,24900
30,8,8,ДА,"град София, Слатина",1984,1-СТАЕН,Панел,37000
30,3,6,,"град София, Триъгълника",2016,1-СТАЕН,Тухла,52400
30,0,0,НЕ,"град София, Хладилника",2008,1-СТАЕН,Тухла,48900
30,0,0,ДА,"град София, Център",1940,1-СТАЕН,Тухла,31000
30,0,0,,"град София, Редута",2007,АТЕЛИЕ,Тухла,24900
31,16,16,ДА,"град София, Надежда 4",1987,1-СТАЕН,ЕПК,31500
32,0,0,НЕ,"град София, Лозенец",2001,1-СТАЕН,Тухла,54990
32,4,5,,"град София, Дружба 2",2012,1-СТАЕН,Тухла,17500
32,7,9,Прокарва се,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
32,4,4,НЕ,"град София, Карпузица",2004,1-СТАЕН,Тухла,39500
32,4,4,НЕ,"град София, Княжево",2004,1-СТАЕН,Тухла,39500
32,0,0,Лок.отопл.,"град София, Лозенец",2004,1-СТАЕН,Тухла,47800
32,2,14,Лок.отопл.,"град София, Люлин 7",1992,1-СТАЕН,ЕПК,42000
32,8,8,,"град София, Младост 3",2017,1-СТАЕН,Панел,29980
32,7,8,НЕ,"град София, Младост 3",1989,1-СТАЕН,Панел,41000
32,1,5,ДА,"град София, Студентски град",2019,1-СТАЕН,Тухла,34000
32,0,0,НЕ,"град София, Център",2001,1-СТАЕН,Тухла,54990
32,5,5,ДА,"град София, Център",1946,1-СТАЕН,Тухла,56000
32,0,0,,"град София, Център",1935,2-СТАЕН,Тухла,95000
33,1,3,НЕ,"град София, Център",1923,1-СТАЕН,Тухла,41900
33,3,4,НЕ,"град София, Дружба 2",2012,1-СТАЕН,Тухла,18700
33,0,0,,"град София, Люлин 6",2007,1-СТАЕН,Тухла,26999
33,7,9,ДА,"град София, Дървеница",2019,1-СТАЕН,Тухла,41500
33,3,3,ДА,"град София, Лозенец",1968,1-СТАЕН,Тухла,29900
33,7,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,29227
33,1,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
33,1,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,30150
33,1,5,ДА,"град София, Студентски град",2020,1-СТАЕН,Тухла,30999
33,2,5,ДА,"град София, Студентски град",2020,1-СТАЕН,Тухла,37030
33,7,9,ДА,"град София, Студентски град",2019,1-СТАЕН,Тухла,41500
33,1,7,НЕ,"град София, Студентски град",2017,1-СТАЕН,Тухла,76000
33,0,0,ДА,"град София, Център",2006,1-СТАЕН,Тухла,45000
33,4,4,НЕ,"град София, Бенковски",2016,АТЕЛИЕ,Тухла,23000
33,2,6,НЕ,"град София, Зона Б-5-3",2007,АТЕЛИЕ,Тухла,39900
33,3,3,ДА,"град София, Лозенец",1968,АТЕЛИЕ,Тухла,29900
34,7,9,ДА,"град София, Дървеница",2019,1-СТАЕН,Тухла,39999
34,7,9,ДА,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
34,7,9,ДА,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
34,7,9,ДА,"град София, Дървеница",2018,1-СТАЕН,Тухла,62000
34,0,0,Лок.отопл.,"град София, Люлин 1",2017,1-СТАЕН,Тухла,23500
34,1,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
34,0,0,,"град София, Редута",1991,1-СТАЕН,Тухла,33000
34,0,0,,"град София, Редута",1991,1-СТАЕН,Тухла,38000
34,3,6,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,59500
34,10,18,ДА,"град София, Сухата река",1988,1-СТАЕН,ЕПК,47900
35,12,15,ДА,"град София, Люлин 5",1988,1-СТАЕН,ЕПК,41999
35,5,14,ДА,"град София, Люлин 7",1986,1-СТАЕН,ЕПК,40990
35,1,8,НЕ,"град София, Овча купел 1",2003,1-СТАЕН,Тухла,33999
35,1,8,НЕ,"град София, Овча купел 1",2003,АТЕЛИЕ,Тухла,33999
35,1,2,НЕ,"град София, Банишора",1954,1-СТАЕН,Тухла,49999
35,0,0,НЕ,"град София, Витоша",2012,1-СТАЕН,Тухла,26000
35,0,0,Лок.отопл.,"град София, Драгалевци",2019,1-СТАЕН,Тухла,39900
35,5,6,,"град София, Левски",2019,1-СТАЕН,Тухла,24950
35,1,2,НЕ,"град София, Център",1953,1-СТАЕН,Тухла,49999
35,0,0,ДА,"град София, Център",1980,1-СТАЕН,Тухла,155000
35,1,8,НЕ,"град София, Люлин 6",1986,2-СТАЕН,Панел,35000
36,7,8,Лок.отопл.,"град София, Горубляне",1998,1-СТАЕН,Панел,40490
36,7,9,ДА,"град София, Дървеница",2019,1-СТАЕН,Тухла,41200
36,7,8,НЕ,"град София, Младост 3",1989,1-СТАЕН,Панел,40500
36,7,8,НЕ,"град София, Младост 3",1989,1-СТАЕН,Панел,40500
36,8,12,ДА,"град София, Младост 3",1983,1-СТАЕН,ЕПК,48000
36,0,0,,"град София, Слатина",2006,1-СТАЕН,Тухла,45000
36,2,5,ДА,"град София, Студентски град",2019,1-СТАЕН,Тухла,37800
36,3,6,,"град София, Студентски град",2016,1-СТАЕН,Тухла,40999
36,9,18,ДА,"град София, Сухата река",1988,1-СТАЕН,ЕПК,50000
36,9,18,ДА,"град София, Сухата река",1988,1-СТАЕН,ЕПК,50000
36,9,18,ДА,"град София, Сухата река",1988,1-СТАЕН,ЕПК,50000
36,5,6,НЕ,"град София, Хаджи Димитър",1980,1-СТАЕН,ПК,26000
36,6,7,,"град София, Център",1955,1-СТАЕН,Тухла,54000
36,9,16,ДА,"град София, Дървеница",2018,2-СТАЕН,ЕПК,44900
36,9,16,,"град София, Студентски град",1983,2-СТАЕН,ЕПК,44900
36,2,6,ДА,"град София, Център",1951,2-СТАЕН,Тухла,85000
37,0,0,,"град София, Студентски град",2015,1-СТАЕН,Тухла,49990
37,5,7,ДА,"град София, Докторски паметник",1955,1-СТАЕН,Тухла,99000
37,5,5,ДА,"град София, Лозенец",1967,2-СТАЕН,Тухла,71800
37,10,14,ДА,"град София, Люлин 7",1984,1-СТАЕН,ЕПК,35500
37,11,14,,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,41000
37,1,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,31942
37,4,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,33056
37,3,7,НЕ,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,33056
37,2,7,ДА,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,33056
37,5,14,ДА,"град София, Младост 2",1986,1-СТАЕН,ЕПК,52000
37,2,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,31178
37,2,9,ДА,"град София, Овча купел",2021,1-СТАЕН,Тухла,31867
37,4,12,,"град София, Студентски град",2017,1-СТАЕН,Тухла,42000
37,7,16,НЕ,"град София, Студентски град",2018,1-СТАЕН,Тухла,47900
37,5,5,ДА,"град София, Център",1950,2-СТАЕН,Тухла,74880
37,5,5,ДА,"град София, Център",1950,АТЕЛИЕ,Тухла,74700
38,3,6,ДА,"град София, Овча купел",2020,1-СТАЕН,Тухла,33388
38,3,6,ДА,"град София, Овча купел 2",2020,1-СТАЕН,Тухла,33395
38,13,17,,"град София, Студентски град",2018,1-СТАЕН,Тухла,51000
